Date,Produit,Région,Quantité,Prix,Catégorie,Revenue
2023-05-09,Laptop,South,4,1104.23,Electronics,4416.92
2024-10-09,Headphones,East,3,865.01,Accessories,2595.0299999999997
2024-04-16,Tablet,East,6,1423.28,Electronics,8539.68
2023-03-04,Headphones,North,7,769.58,Accessories,5387.06
2023-05-19,Headphones,East,4,601.75,Accessories,2407.0
2024-05-13,Headphones,South,7,286.4,Accessories,2004.7999999999997
2024-08-15,Headphones,South,9,1190.0,Accessories,10710.0
2024-01-27,Monitor,North,2,1114.94,Electronics,2229.88
2024-11-05,Monitor,South,3,607.31,Electronics,1821.9299999999998
2024-02-23,Phone,West,5,86.53,Electronics,432.65
2023-10-16,Laptop,North,3,1266.55,Electronics,3799.6499999999996
2024-01-14,Headphones,South,8,66.56,Accessories,532.48
2024-05-04,Phone,North,8,1070.36,Electronics,8562.88
2023-08-19,Laptop,East,8,1456.87,Electronics,11654.96
2023-02-10,Tablet,South,9,684.61,Electronics,6161.49
2023-01-28,Monitor,West,4,390.71,Electronics,1562.84
2023-05-15,Laptop,South,5,1072.06,Electronics,5360.299999999999
2023-07-20,Tablet,North,5,1234.84,Electronics,6174.2
2023-02-02,Laptop,North,8,842.32,Electronics,6738.56
2023-02-17,Monitor,South,7,1452.2,Electronics,10165.4
2024-05-17,Monitor,West,9,124.92,Electronics,1124.28
2024-02-11,Phone,West,8,781.95,Electronics,6255.6
2024-07-27,Headphones,West,2,1091.76,Accessories,2183.52
2024-12-28,Laptop,North,4,1300.83,Electronics,5203.32
2023-04-09,Laptop,South,6,309.92,Electronics,1859.52
2024-11-14,Tablet,East,2,1210.01,Electronics,2420.02
2024-12-26,Monitor,North,7,851.43,Electronics,5960.009999999999
2024-06-30,Laptop,West,3,625.0,Electronics,1875.0
2024-09-04,Monitor,South,3,240.99,Electronics,722.97
2024-04-06,Laptop,West,2,1304.68,Electronics,2609.36
2024-10-04,Phone,East,8,278.05,Electronics,2224.4
2023-01-05,Headphones,West,6,499.19,Accessories,2995.14
2023-08-06,Laptop,West,1,470.57,Electronics,470.57
2024-05-17,Monitor,East,1,1313.55,Electronics,1313.55
2024-02-02,Phone,South,7,1025.42,Electronics,7177.9400000000005
2024-01-28,Laptop,North,8,1205.19,Electronics,9641.52
2023-07-26,Tablet,South,5,413.18,Electronics,2065.9
2023-01-15,Headphones,East,5,956.07,Accessories,4780.35
2024-07-07,Laptop,West,4,879.03,Electronics,3516.12
2024-04-05,Phone,South,6,1257.6,Electronics,7545.599999999999
2024-11-21,Tablet,North,6,1363.83,Electronics,8182.98
2024-07-28,Phone,East,3,67.63,Electronics,202.89
2023-08-29,Phone,South,9,1027.33,Electronics,9245.97
2024-07-17,Tablet,North,7,125.16,Electronics,876.12
2023-04-06,Phone,East,1,845.85,Electronics,845.85
2024-04-29,Tablet,North,7,467.07,Electronics,3269.49
2024-02-11,Laptop,East,5,494.83,Electronics,2474.15
2023-08-19,Tablet,West,5,561.79,Electronics,2808.95
2024-10-16,Tablet,South,2,950.87,Electronics,1901.74
2023-06-20,Headphones,North,4,534.37,Accessories,2137.48
2024-06-24,Tablet,East,6,1112.41,Electronics,6674.460000000001
2023-02-05,Tablet,North,7,636.56,Electronics,4455.92
2024-06-08,Laptop,North,5,149.11,Electronics,745.5500000000001
2023-06-09,Headphones,South,9,1186.45,Accessories,10678.050000000001
2024-11-29,Monitor,West,3,464.35,Electronics,1393.0500000000002
2023-08-31,Laptop,North,1,677.51,Electronics,677.51
2023-03-27,Laptop,East,4,1043.89,Electronics,4175.56
2024-07-31,Monitor,East,9,532.06,Electronics,4788.539999999999
2024-11-12,Tablet,West,4,132.05,Electronics,528.2
2024-07-10,Phone,East,2,592.19,Electronics,1184.38
2024-07-27,Headphones,West,5,1419.45,Accessories,7097.25
2024-10-07,Phone,East,3,980.51,Electronics,2941.5299999999997
2023-01-28,Monitor,South,9,1023.64,Electronics,9212.76
2024-09-11,Laptop,North,4,966.81,Electronics,3867.24
2024-07-09,Laptop,South,6,338.54,Electronics,2031.2400000000002
2023-12-06,Headphones,North,2,656.58,Accessories,1313.16
2023-11-27,Laptop,North,6,1138.86,Electronics,6833.16
2024-10-01,Laptop,North,3,196.99,Electronics,590.97
2024-05-20,Headphones,South,9,452.89,Accessories,4076.0099999999998
2023-12-14,Headphones,North,2,450.66,Accessories,901.32
2024-04-17,Monitor,South,9,676.43,Electronics,6087.87
2023-08-19,Laptop,West,5,1471.53,Electronics,7357.65
2023-07-09,Laptop,East,8,147.88,Electronics,1183.04
2023-08-13,Monitor,East,2,802.12,Electronics,1604.24
2024-01-20,Tablet,North,6,310.08,Electronics,1860.48
2024-01-12,Tablet,South,3,1457.48,Electronics,4372.4400000000005
2023-10-10,Tablet,East,5,214.29,Electronics,1071.45
2024-09-24,Monitor,South,8,635.22,Electronics,5081.76
2024-09-19,Laptop,South,1,1119.93,Electronics,1119.93
2023-09-16,Monitor,North,5,1071.6,Electronics,5358.0
2023-12-25,Monitor,East,3,662.96,Electronics,1988.88
2024-12-10,Tablet,North,4,552.46,Electronics,2209.84
2024-03-31,Phone,North,2,626.54,Electronics,1253.08
2024-02-15,Laptop,East,9,433.2,Electronics,3898.7999999999997
2024-10-10,Tablet,East,3,347.73,Electronics,1043.19
2023-11-14,Phone,West,2,750.41,Electronics,1500.82
2024-11-07,Phone,West,9,439.37,Electronics,3954.33
2023-08-13,Headphones,South,7,466.82,Accessories,3267.74
2023-08-22,Laptop,East,6,1002.3,Electronics,6013.799999999999
2024-11-14,Phone,West,1,1454.38,Electronics,1454.38
2024-10-25,Tablet,South,5,925.27,Electronics,4626.35
2024-01-09,Headphones,South,3,161.62,Accessories,484.86
2024-11-02,Laptop,South,1,159.6,Electronics,159.6
2024-08-30,Monitor,West,4,1429.56,Electronics,5718.24
2024-04-16,Tablet,East,2,481.07,Electronics,962.14
2023-08-21,Phone,North,2,183.5,Electronics,367.0
2024-11-22,Phone,South,3,918.61,Electronics,2755.83
2023-04-23,Tablet,West,8,954.29,Electronics,7634.32
2024-05-11,Phone,West,8,990.33,Electronics,7922.64
2024-03-17,Headphones,North,7,437.73,Accessories,3064.11
2024-07-17,Laptop,North,6,71.91,Electronics,431.46
2023-09-25,Headphones,West,9,1449.27,Accessories,13043.43
2024-05-24,Phone,East,4,413.79,Electronics,1655.16
2024-01-21,Monitor,North,1,1030.24,Electronics,1030.24
2024-01-22,Laptop,West,8,1074.61,Electronics,8596.88
2023-04-23,Laptop,North,7,934.51,Electronics,6541.57
2024-09-04,Tablet,East,7,503.72,Electronics,3526.04
2024-09-16,Tablet,South,3,443.09,Electronics,1329.27
2023-03-22,Monitor,North,4,916.62,Electronics,3666.48
2024-11-29,Laptop,East,9,1305.84,Electronics,11752.56
2023-04-23,Monitor,West,6,1422.76,Electronics,8536.56
2023-01-02,Tablet,North,5,203.56,Electronics,1017.8
2024-10-03,Tablet,North,3,274.5,Electronics,823.5
2023-08-08,Laptop,West,9,1419.87,Electronics,12778.829999999998
2024-07-19,Headphones,South,5,1117.98,Accessories,5589.9
2023-08-13,Phone,West,5,1330.34,Electronics,6651.7
2024-01-20,Tablet,North,4,343.82,Electronics,1375.28
2024-02-07,Tablet,West,4,902.0,Electronics,3608.0
2024-09-29,Headphones,East,1,1066.65,Accessories,1066.65
2023-05-10,Headphones,West,7,1036.16,Accessories,7253.120000000001
2023-02-22,Monitor,North,9,641.82,Electronics,5776.38
2024-11-14,Monitor,West,3,72.32,Electronics,216.95999999999998
2024-12-30,Phone,South,2,895.24,Electronics,1790.48
2024-11-02,Phone,West,3,417.0,Electronics,1251.0
2024-12-10,Laptop,South,1,702.87,Electronics,702.87
2024-02-20,Monitor,East,6,1438.49,Electronics,8630.94
2023-09-04,Tablet,South,7,628.6,Electronics,4400.2
2024-03-14,Monitor,West,2,1267.71,Electronics,2535.42
2023-07-22,Tablet,North,8,323.38,Electronics,2587.04
2023-07-03,Headphones,South,6,1025.07,Accessories,6150.42
2023-05-03,Monitor,East,4,1466.66,Electronics,5866.64
2024-02-05,Headphones,South,5,197.74,Accessories,988.7
2023-10-21,Phone,South,8,62.06,Electronics,496.48
2023-10-07,Phone,South,3,678.7,Electronics,2036.1000000000001
2024-09-01,Laptop,East,3,184.31,Electronics,552.9300000000001
2023-07-17,Monitor,West,4,1135.16,Electronics,4540.64
2024-05-25,Headphones,South,1,1376.1,Accessories,1376.1
2023-05-24,Tablet,South,9,679.33,Electronics,6113.97
2024-08-31,Phone,North,8,425.13,Electronics,3401.04
2023-07-20,Phone,East,8,679.88,Electronics,5439.04
2023-05-04,Tablet,South,6,1099.0,Electronics,6594.0
2023-07-06,Headphones,East,7,63.13,Accessories,441.91
2023-11-22,Headphones,South,6,904.71,Accessories,5428.26
2024-04-08,Monitor,West,9,939.27,Electronics,8453.43
2023-12-15,Monitor,West,3,974.65,Electronics,2923.95
2024-10-21,Laptop,South,3,400.93,Electronics,1202.79
2024-02-07,Phone,West,3,1085.38,Electronics,3256.1400000000003
2023-12-12,Monitor,South,3,182.52,Electronics,547.5600000000001
2024-05-25,Headphones,West,9,338.94,Accessories,3050.46
2023-05-27,Tablet,North,4,1322.33,Electronics,5289.32
2023-05-28,Headphones,North,7,1121.15,Accessories,7848.050000000001
2024-12-11,Phone,North,9,69.93,Electronics,629.3700000000001
2024-05-03,Headphones,East,7,410.15,Accessories,2871.0499999999997
2024-10-01,Laptop,East,9,360.89,Electronics,3248.0099999999998
2024-07-04,Phone,North,3,442.67,Electronics,1328.01
2023-12-04,Tablet,East,4,408.96,Electronics,1635.84
2024-10-02,Laptop,West,8,140.66,Electronics,1125.28
2024-04-17,Phone,South,6,715.46,Electronics,4292.76
2023-05-31,Tablet,South,5,1112.46,Electronics,5562.3
2024-02-19,Laptop,South,4,929.76,Electronics,3719.04
2023-10-25,Laptop,North,8,1025.66,Electronics,8205.28
2024-09-02,Phone,East,1,167.67,Electronics,167.67
2023-09-20,Monitor,West,9,1429.66,Electronics,12866.94
2023-05-24,Laptop,West,1,1265.81,Electronics,1265.81
2023-12-12,Laptop,North,8,1217.38,Electronics,9739.04
2024-09-15,Tablet,West,4,1243.33,Electronics,4973.32
2024-07-25,Headphones,West,9,1402.43,Accessories,12621.87
2023-01-02,Phone,West,5,839.17,Electronics,4195.849999999999
2023-10-31,Phone,West,3,340.41,Electronics,1021.23
2023-09-11,Monitor,East,9,944.34,Electronics,8499.06
2024-10-13,Monitor,West,9,1127.18,Electronics,10144.62
2024-03-28,Phone,South,4,1119.98,Electronics,4479.92
2023-02-06,Monitor,North,4,806.1,Electronics,3224.4
2023-06-09,Tablet,East,8,149.27,Electronics,1194.16
2023-01-09,Phone,West,2,588.11,Electronics,1176.22
2023-08-21,Monitor,East,9,1385.11,Electronics,12465.99
2023-04-09,Phone,West,6,897.45,Electronics,5384.700000000001
2024-10-20,Headphones,South,9,830.58,Accessories,7475.22
2023-07-27,Laptop,North,8,439.84,Electronics,3518.72
2023-05-11,Phone,West,7,584.25,Electronics,4089.75
2024-02-08,Laptop,West,1,1348.25,Electronics,1348.25
2023-06-01,Monitor,West,3,1016.37,Electronics,3049.11
2023-02-23,Laptop,West,2,1191.71,Electronics,2383.42
2023-04-30,Phone,North,5,708.8,Electronics,3544.0
2024-11-03,Headphones,North,5,963.86,Accessories,4819.3
2024-09-19,Monitor,South,5,410.16,Electronics,2050.8
2024-08-09,Phone,North,4,1072.92,Electronics,4291.68
2024-09-16,Monitor,West,5,670.02,Electronics,3350.1
2024-02-24,Tablet,South,3,691.69,Electronics,2075.07
2024-02-26,Laptop,South,1,991.52,Electronics,991.52
2023-04-14,Tablet,South,5,1407.61,Electronics,7038.049999999999
2023-09-11,Phone,West,9,142.81,Electronics,1285.29
2023-08-15,Headphones,East,9,1245.88,Accessories,11212.920000000002
2023-04-22,Monitor,West,4,473.96,Electronics,1895.84
2024-05-24,Laptop,North,3,693.68,Electronics,2081.04
2024-04-17,Monitor,North,1,81.77,Electronics,81.77
2023-04-09,Phone,West,2,486.52,Electronics,973.04
2023-06-02,Monitor,West,8,778.82,Electronics,6230.56
2023-12-04,Laptop,South,1,131.46,Electronics,131.46
2024-12-06,Phone,West,8,762.09,Electronics,6096.72
2023-06-12,Monitor,South,7,1394.31,Electronics,9760.17
2024-12-20,Headphones,North,8,202.82,Accessories,1622.56
2024-11-11,Phone,South,6,1158.44,Electronics,6950.64
2023-06-10,Phone,West,9,644.02,Electronics,5796.18
2024-08-02,Headphones,North,3,1000.0,Accessories,3000.0
2024-02-02,Tablet,East,4,427.34,Electronics,1709.36
2023-10-04,Laptop,South,6,281.26,Electronics,1687.56
2024-05-18,Tablet,North,8,282.67,Electronics,2261.36
2024-01-27,Monitor,South,5,152.21,Electronics,761.0500000000001
2023-05-15,Headphones,North,3,319.19,Accessories,957.5699999999999
2023-07-14,Tablet,North,6,1013.12,Electronics,6078.72
2024-02-05,Phone,South,4,1328.45,Electronics,5313.8
2024-10-01,Monitor,East,9,1230.48,Electronics,11074.32
2023-02-02,Monitor,North,3,1043.44,Electronics,3130.32
2024-11-18,Tablet,North,4,210.13,Electronics,840.52
2024-04-04,Tablet,North,7,469.32,Electronics,3285.24
2024-04-14,Headphones,East,7,499.22,Accessories,3494.54
2024-01-10,Laptop,East,4,412.44,Electronics,1649.76
2023-01-22,Tablet,West,6,796.76,Electronics,4780.5599999999995
2024-10-31,Tablet,South,3,826.55,Electronics,2479.6499999999996
2023-02-07,Phone,East,6,567.48,Electronics,3404.88
2023-08-18,Monitor,South,2,562.99,Electronics,1125.98
2023-12-31,Laptop,West,8,1251.41,Electronics,10011.28
2024-07-16,Phone,South,2,1194.47,Electronics,2388.94
2024-03-13,Headphones,East,7,496.3,Accessories,3474.1
2023-10-10,Headphones,South,9,1374.99,Accessories,12374.91
2023-01-27,Tablet,East,1,1431.58,Electronics,1431.58
2023-08-14,Tablet,South,8,523.78,Electronics,4190.24
2023-10-04,Headphones,East,7,563.92,Accessories,3947.4399999999996
2024-08-31,Tablet,East,6,783.17,Electronics,4699.0199999999995
2023-10-11,Laptop,South,6,1414.63,Electronics,8487.78
2024-04-25,Tablet,West,6,1320.66,Electronics,7923.960000000001
2024-03-28,Monitor,North,9,198.72,Electronics,1788.48
2024-10-20,Tablet,West,2,619.46,Electronics,1238.92
2024-05-30,Phone,South,1,852.39,Electronics,852.39
2024-06-30,Laptop,West,6,779.54,Electronics,4677.24
2023-07-11,Phone,East,8,331.1,Electronics,2648.8
2023-02-18,Phone,North,3,1295.28,Electronics,3885.84
2024-05-26,Monitor,South,1,1031.56,Electronics,1031.56
2023-01-17,Laptop,South,9,1264.97,Electronics,11384.73
2023-06-21,Laptop,South,1,1295.21,Electronics,1295.21
2023-08-08,Laptop,North,3,1135.12,Electronics,3405.3599999999997
2023-06-07,Laptop,East,8,686.86,Electronics,5494.88
2024-04-21,Laptop,South,3,935.29,Electronics,2805.87
2023-02-15,Monitor,West,4,282.53,Electronics,1130.12
2024-01-08,Tablet,South,8,1026.79,Electronics,8214.32
2024-06-01,Phone,South,1,309.92,Electronics,309.92
2023-04-09,Laptop,South,6,1056.23,Electronics,6337.38
2023-02-06,Tablet,South,1,382.92,Electronics,382.92
2023-10-07,Tablet,East,1,220.45,Electronics,220.45
2023-12-15,Phone,West,8,289.66,Electronics,2317.28
2024-05-11,Monitor,East,4,52.89,Electronics,211.56
2023-10-29,Headphones,West,1,1092.17,Accessories,1092.17
2023-06-30,Headphones,South,7,1111.98,Accessories,7783.860000000001
2024-08-29,Tablet,North,5,796.65,Electronics,3983.25
2023-04-09,Phone,East,5,283.98,Electronics,1419.9
2024-11-30,Headphones,North,1,171.15,Accessories,171.15
2023-04-26,Tablet,East,6,77.74,Electronics,466.43999999999994
2023-07-10,Monitor,South,9,290.33,Electronics,2612.97
2023-09-10,Headphones,East,9,1341.74,Accessories,12075.66
2023-06-10,Tablet,South,8,400.23,Electronics,3201.84
2023-09-13,Tablet,East,5,563.69,Electronics,2818.4500000000003
2023-11-19,Laptop,South,1,202.75,Electronics,202.75
2023-05-08,Monitor,South,9,372.42,Electronics,3351.78
2023-01-18,Laptop,West,1,802.88,Electronics,802.88
2024-07-19,Phone,South,8,931.24,Electronics,7449.92
2024-07-23,Laptop,West,5,405.76,Electronics,2028.8
2023-11-19,Laptop,South,3,133.71,Electronics,401.13
2024-11-16,Headphones,North,7,617.0,Accessories,4319.0
2024-09-17,Tablet,South,7,389.59,Electronics,2727.1299999999997
2023-10-15,Monitor,North,9,368.35,Electronics,3315.15
2024-10-24,Laptop,North,7,1441.8,Electronics,10092.6
2024-09-30,Monitor,South,3,943.64,Electronics,2830.92
2023-06-04,Laptop,North,1,857.47,Electronics,857.47
2024-05-04,Phone,West,8,652.87,Electronics,5222.96
2024-01-21,Laptop,East,3,671.97,Electronics,2015.91
2023-04-14,Headphones,South,8,834.31,Accessories,6674.48
2024-01-28,Tablet,North,8,1059.82,Electronics,8478.56
2023-09-03,Phone,South,5,1068.11,Electronics,5340.549999999999
2023-06-25,Laptop,West,1,298.96,Electronics,298.96
2023-02-08,Monitor,South,7,775.16,Electronics,5426.12
2024-04-21,Phone,South,5,647.34,Electronics,3236.7000000000003
2024-11-12,Phone,North,8,1312.26,Electronics,10498.08
2024-06-21,Laptop,West,9,965.56,Electronics,8690.039999999999
2024-02-12,Phone,East,7,822.13,Electronics,5754.91
2024-06-08,Monitor,East,7,217.32,Electronics,1521.24
2024-05-20,Phone,North,1,928.17,Electronics,928.17
2023-02-05,Monitor,South,4,219.95,Electronics,879.8
2024-11-15,Laptop,North,2,538.95,Electronics,1077.9
2023-01-20,Tablet,North,2,257.12,Electronics,514.24
2023-11-17,Phone,North,2,1053.51,Electronics,2107.02
2024-05-26,Tablet,South,4,349.07,Electronics,1396.28
2024-02-04,Monitor,West,1,618.2,Electronics,618.2
2024-10-15,Phone,North,4,1348.73,Electronics,5394.92
2024-04-15,Headphones,South,2,346.26,Accessories,692.52
2023-05-23,Tablet,West,5,786.32,Electronics,3931.6000000000004
2023-04-02,Phone,North,3,657.94,Electronics,1973.8200000000002
2023-12-20,Tablet,East,8,76.28,Electronics,610.24
2024-12-27,Phone,West,4,1199.5,Electronics,4798.0
2023-02-20,Laptop,North,1,150.12,Electronics,150.12
2024-10-26,Tablet,West,1,737.67,Electronics,737.67
2024-11-28,Headphones,West,3,862.98,Accessories,2588.94
2024-07-28,Headphones,West,9,961.22,Accessories,8650.98
2023-07-09,Monitor,West,7,1048.52,Electronics,7339.639999999999
2023-05-05,Phone,West,2,417.24,Electronics,834.48
2023-05-30,Tablet,West,9,64.47,Electronics,580.23
2023-11-10,Monitor,North,2,1098.99,Electronics,2197.98
2024-07-23,Tablet,East,3,826.7,Electronics,2480.1000000000004
2023-12-08,Phone,South,2,1262.37,Electronics,2524.74
2023-11-01,Headphones,West,3,1241.01,Accessories,3723.0299999999997
2024-11-22,Laptop,South,6,1272.82,Electronics,7636.92
2024-11-12,Headphones,North,9,753.39,Accessories,6780.51
2023-02-23,Monitor,West,9,533.76,Electronics,4803.84
2024-03-19,Laptop,East,7,1197.76,Electronics,8384.32
2024-09-04,Monitor,South,3,704.38,Electronics,2113.14
2023-09-21,Phone,West,4,315.99,Electronics,1263.96
2023-02-22,Laptop,North,6,1289.71,Electronics,7738.26
2024-07-25,Monitor,East,5,1329.71,Electronics,6648.55
2024-09-11,Phone,South,2,726.15,Electronics,1452.3
2023-01-05,Headphones,South,6,159.76,Accessories,958.56
2023-04-13,Phone,West,3,612.35,Electronics,1837.0500000000002
2023-07-15,Tablet,East,8,1215.13,Electronics,9721.04
2023-12-16,Phone,East,2,1357.57,Electronics,2715.14
2023-02-16,Phone,East,1,345.04,Electronics,345.04
2024-10-17,Tablet,East,9,147.11,Electronics,1323.9900000000002
2023-09-26,Monitor,North,3,1322.16,Electronics,3966.4800000000005
2024-01-05,Monitor,East,1,614.64,Electronics,614.64
2024-09-27,Phone,South,7,835.55,Electronics,5848.849999999999
2023-04-16,Tablet,South,5,1453.7,Electronics,7268.5
2024-10-31,Tablet,North,5,146.52,Electronics,732.6
2024-10-20,Headphones,South,1,990.06,Accessories,990.06
2024-10-18,Monitor,South,9,157.45,Electronics,1417.05
2023-04-30,Laptop,East,7,594.43,Electronics,4161.009999999999
2024-08-26,Monitor,South,8,1215.53,Electronics,9724.24
2023-02-27,Monitor,North,9,678.53,Electronics,6106.7699999999995
2023-12-12,Headphones,East,6,1495.91,Accessories,8975.460000000001
2024-04-18,Laptop,West,5,860.64,Electronics,4303.2
2023-04-27,Headphones,East,6,515.69,Accessories,3094.1400000000003
2023-05-07,Laptop,North,2,369.16,Electronics,738.32
2024-01-28,Phone,East,4,558.25,Electronics,2233.0
2024-10-02,Laptop,East,3,590.17,Electronics,1770.5099999999998
2023-02-27,Headphones,North,7,149.63,Accessories,1047.4099999999999
2024-09-25,Monitor,East,9,585.88,Electronics,5272.92
2024-05-27,Laptop,North,5,723.15,Electronics,3615.75
2023-04-06,Laptop,North,6,1097.97,Electronics,6587.82
2024-09-29,Tablet,West,2,1002.26,Electronics,2004.52
2023-04-28,Monitor,South,3,1077.71,Electronics,3233.13
2024-07-13,Phone,South,3,62.13,Electronics,186.39000000000001
2024-08-23,Headphones,East,9,365.62,Accessories,3290.58
2024-05-02,Phone,East,7,1009.44,Electronics,7066.08
2023-08-25,Monitor,West,8,751.78,Electronics,6014.24
2023-09-29,Laptop,West,9,57.7,Electronics,519.3000000000001
2023-07-08,Laptop,West,6,1216.52,Electronics,7299.12
2024-12-04,Monitor,North,4,1170.57,Electronics,4682.28
